,factors_id,distance_threshold_multiplier,increment_threshold,lexicalization_noise_level,collocations_noise_level,concept_level_weights,message_id,message,concept_level_weights,threshold_per_concept,total_threshold,increment_threshold,semantic_noise,syntactic_noise,time,sentence_set,verdict,distance,length_of_sentence,depth_of_sentence,n_sub_trees,n_head_words,n_roots,n_leafs,verdict_success,verdict_one_word,verdict_failure
0,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",0,SOTAS KUD DAMEL SIPES SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.540,Mutod.,no more head words. failure,xxx,1,1,1,11,24,155,0,0,1
1,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",0,SOTAS KUD DAMEL SIPES SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.480,Senuwehad.,no more head words. failure,xxx,1,1,1,11,24,149,0,0,1
2,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",0,SOTAS KUD DAMEL SIPES SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.110,Remiton.,no more head words. failure,xxx,1,1,1,11,30,206,0,0,1
3,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",0,SOTAS KUD DAMEL SIPES SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.770,Hehaw.,no more head words. failure,xxx,1,1,1,11,26,176,0,0,1
4,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",0,SOTAS KUD DAMEL SIPES SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.960,Lesehag.,no more head words. failure,xxx,1,1,1,11,28,193,0,0,1
5,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",0,SOTAS KUD DAMEL SIPES SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.350,Sun.,no more head words. failure,xxx,1,1,1,11,32,228,0,0,1
6,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",0,SOTAS KUD DAMEL SIPES SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.890,Metel.,no more head words. failure,xxx,1,1,1,11,28,186,0,0,1
7,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",0,SOTAS KUD DAMEL SIPES SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.440,Logog.,no more head words. failure,xxx,1,1,1,11,24,145,0,0,1
8,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",0,SOTAS KUD DAMEL SIPES SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.090,Fepop.,no more head words. failure,xxx,1,1,1,11,30,204,0,0,1
9,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",0,SOTAS KUD DAMEL SIPES SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.540,Taluwegot.,no more head words. failure,xxx,1,1,1,11,24,155,0,0,1
10,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",0,SOTAS KUD DAMEL SIPES SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.420,Nagaz.,no more head words. failure,xxx,1,1,1,11,33,234,0,0,1
11,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",0,SOTAS KUD DAMEL SIPES SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.470,Lesehag.,no more head words. failure,xxx,1,1,1,11,24,148,0,0,1
12,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",0,SOTAS KUD DAMEL SIPES SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.460,Leteh.,no more head words. failure,xxx,1,1,1,11,24,147,0,0,1
13,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",0,SOTAS KUD DAMEL SIPES SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.480,Feh.,no more head words. failure,xxx,1,1,1,11,24,149,0,0,1
